"groups_pas","ST07","ST08","ST09","ST10","ST12","ST13","ST14","ST15","ST16","ST17","ST18","ST18-2","soundspeed","synced_time"
0,NA,25773.167726,NA,NA,NA,NA,25773.185824561,25773.119891266,25773.156030751,25773.179328685,25773.152213615,25773.165495727,1470.7326946091,"2015-10-06 17:42:57.553276160"
0,NA,NA,NA,NA,NA,NA,26397.297744326,26397.231847117,26397.267727526,26397.291309753,26397.263948919,26397.277237395,1470.7326946091,"2015-10-06 17:53:21.665232128"
0,NA,26981.828974,NA,NA,NA,NA,26981.847311615,26981.781271519,26981.817260475,26981.840598852,26981.813622796,26981.826843016,1470.7326946091,"2015-10-06 18:03:06.214656512"
0,NA,27608.186039,NA,NA,NA,NA,NA,27608.137889507,27608.174009713,27608.197529145,27608.170022361,NA,1470.7326946091,"2015-10-06 18:13:32.571274496"
0,28197.767119606,28197.641506,NA,NA,NA,NA,28197.659545348,28197.592830994,28197.6286393,28197.652405388,28197.625116372,28197.638220085,1470.7326946091,"2015-10-06 18:23:22.026215936"
0,NA,28832.970424,NA,NA,NA,NA,28832.988723376,28832.922696463,28832.958699492,28832.982429195,28832.954870829,28832.968427881,1470.7326946091,"2015-10-06 18:33:57.356081408"
0,NA,29440.605794,NA,NA,NA,NA,29440.624096562,29440.558130806,29440.593944706,29440.617588235,29440.590272385,29440.603803646,1470.7326946091,"2015-10-06 18:44:04.991515904"
0,NA,29992.590974,29992.637252791,NA,NA,NA,29992.609261999,29992.543305,29992.579267783,29992.602724765,29992.575570325,29992.589000707,1470.7326946091,"2015-10-06 18:53:16.976689920"
0,30553.004191268,30552.877618,30552.922780589,NA,NA,30552.943199709,30552.895949652,30552.829938926,30552.865914575,30552.889571003,30552.862235661,30552.875660666,1470.7326946091,"2015-10-06 19:02:37.263323904"
0,NA,31130.038386,31130.082289023,NA,NA,31130.100706009,31130.056474861,31129.990588212,31130.026505732,31130.050129498,31130.022728559,31130.036336625,1470.7326946091,"2015-10-06 19:12:14.423973120"
0,NA,31741.009002,31741.053556696,31741.033197736,NA,NA,31741.027276233,31740.961466202,31740.997180548,31741.020812436,31740.993475518,31741.007144454,1470.7326946091,"2015-10-06 19:22:25.394851328"
0,NA,32299.491875,NA,NA,NA,NA,32299.510202099,32299.444130795,32299.480066394,32299.503800569,32299.47626933,32299.490006777,1470.81390082353,"2015-10-06 19:31:43.877515776"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470.81390082353,"2015-10-06 19:43:24.433384960"
0,33477.053294082,33476.926234,33476.971016639,33476.950868035,NA,33476.992000027,33476.944557332,33476.878538162,33476.914358835,33476.937987663,33476.910781783,33476.92430456,1470.81390082353,"2015-10-06 19:51:21.311923200"
0,NA,34021.471635,34021.516022463,NA,NA,NA,34021.489882678,34021.423938168,34021.459839689,34021.48329557,34021.456100733,34021.469676032,1470.81390082353,"2015-10-06 20:00:25.857323264"
0,NA,NA,NA,NA,NA,NA,34567.312780497,34567.24531665,34567.281192641,34567.305673014,34567.277598671,34567.291125512,1470.81390082353,"2015-10-06 20:09:31.678701568"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470.81390082353,"2015-10-06 20:23:24.433384960"
0,NA,36235.737851,NA,NA,NA,NA,36235.756107862,36235.690127753,36235.725997767,36235.749497201,36235.722293829,36235.735774903,1470.81390082353,"2015-10-06 20:37:20.123512832"
0,NA,36823.85024,NA,NA,NA,NA,36823.868499049,36823.802591489,36823.838456849,36823.862004859,36823.834810081,36823.848138801,1470.81390082353,"2015-10-06 20:47:08.235976448"
0,NA,37456.764797,NA,NA,NA,NA,37456.78292866,37456.716898565,37456.752768296,37456.776585579,37456.749103628,37456.762666887,1470.81390082353,"2015-10-06 20:57:41.150283520"
0,NA,38059.239152,38059.282371238,NA,NA,38059.304777761,38059.257211374,38059.19131957,38059.227223332,38059.250864591,38059.223588439,38059.237003257,1470.81390082353,"2015-10-06 21:07:43.624704512"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470.81390082353,"2015-10-06 21:13:24.433384960"
0,NA,38720.686643,NA,NA,NA,NA,38720.704930024,38720.638944326,38720.674729771,38720.698589988,38720.67132125,38720.684668952,1470.81390082353,"2015-10-06 21:18:45.072329216"
0,39380.704180189,39380.578259,39380.623560815,NA,NA,NA,39380.596581026,39380.53049464,39380.566269972,39380.590052084,39380.562680302,39380.576163215,1470.7326946091,"2015-10-06 21:29:44.963879680"
0,NA,40037.73182,40037.781132818,NA,NA,NA,NA,40037.683991973,40037.720267835,40037.743476352,40037.716483537,NA,1470.7326946091,"2015-10-06 21:40:42.117377024"
0,NA,40688.83278,40688.875427965,40688.856998438,NA,NA,40688.851131417,40688.78509063,40688.821194104,40688.844540122,40688.817383595,40688.830837079,1470.7326946091,"2015-10-06 21:51:33.218475520"
0,NA,41328.29783,41328.342250004,NA,NA,41328.362510671,41328.315920341,41328.25008681,41328.286165354,41328.309570631,41328.282371926,41328.295861925,1470.7326946091,"2015-10-06 22:02:12.683471872"
0,41944.659140541,41944.53246,41944.576025659,NA,NA,41944.596965822,41944.550708185,41944.484675081,41944.520628718,41944.544134522,41944.51703377,41944.530467427,1470.7326946091,"2015-10-06 22:12:28.918060032"
0,NA,42513.743658,42513.78812766,42513.765756462,NA,42513.8087834,42513.761703692,42513.695857823,42513.731686425,42513.755276327,42513.728055091,42513.741548596,1470.7326946091,"2015-10-06 22:21:58.129242880"
0,NA,43108.612137,43108.655687122,NA,NA,43108.677812178,43108.63024915,43108.564306403,43108.600200933,43108.623729905,43108.59666196,43108.610102829,1470.7326946091,"2015-10-06 22:31:52.997691392"
0,NA,43755.579965,43755.622235025,NA,NA,NA,43755.598177838,43755.532275388,43755.568214196,43755.591688668,43755.564729299,43755.578093368,1470.7326946091,"2015-10-06 22:42:39.965660416"
0,NA,44386.208959,44386.252882137,NA,NA,44386.273010585,44386.227156128,44386.161319749,44386.197172095,44386.220722047,44386.193559657,44386.206953431,1470.7326946091,"2015-10-06 22:53:10.594704640"
0,NA,44984.1452879999,44984.190030504,NA,NA,44984.210156015,44984.163635664,44984.097516938,44984.1335214319,44984.1570055839,44984.1297180669,44984.143255925,1470.7326946091,"2015-10-06 23:03:08.530902016"
0,45636.985930412,45636.859621,45636.901867036,NA,NA,NA,45636.87794046,45636.811988455,45636.847911687,45636.871433251,45636.844391811,45636.85755088,1470.7326946091,"2015-10-06 23:14:01.245373440"
0,46279.241822118,46279.115526,NA,46279.142259578,NA,46279.181887308,46279.133570148,46279.067637026,46279.103524024,46279.127100175,46279.099834885,46279.113420818,1470.7326946091,"2015-10-06 23:24:43.501021952"
0,NA,46900.299675,46900.3446857049,NA,NA,NA,NA,46900.251840844,46900.287880677,NA,46900.284317747,46900.297641156,1470.65144091706,"2015-10-06 23:35:04.685225728"
