,station_name,tag_name,Latitude,Longitude,X,Y,X_OF,Y_OF
0,ST07,S7,51.096790000000006,5.1103,93.98010299,14.52243746,114.27826656238176,-141.99467287678272
1,ST08,S8,51.097609999999996,5.10999,69.66175904,105.07570420000002,71.18234928837046,-58.79118928872049
2,ST08-2,S8-2,51.09751667,5.110716667,120.834989,96.1569412,125.36434059671592,-55.94439491350204
3,ST09,S9,51.09717,5.11062,115.17262790000001,57.41705047,127.3532886140747,-95.17703797761351
4,ST09-2,S9-2,51.09717,5.11062,115.17262790000001,57.41705047,127.3532886140747,-95.17703797761351
5,ST10,S10,51.09724,5.1100699999999994,76.44234755,64.0960851,86.3603842901066,-97.40093213971704
6,ST12,S12,51.09665,5.1108199999999995,130.8336169,0.0,154.92577785416506,-147.8793921172619
7,ST13,S13,51.097120000000004,5.11112,150.33857609999998,52.86167554,164.27031953912228,-91.6798276938498
8,ST14,S14,51.09811,5.11,68.76786127,160.690664,59.08940168307163,-4.511804354377091
9,ST15,S15,51.0975,5.10899,0.0,90.83792406,2.7266717231832445,-88.50812991987914
10,ST16,S16,51.097429999999996,5.10974,52.73246525,84.55973029,57.974161342252046,-82.72130211442709
11,ST17,S17,51.098240000000004,5.10944,29.14707523,174.0213514,15.847086869878694,-0.42169660795480013
12,ST18,S18,51.09789,5.10928,19.06070017,134.7838429,13.407392442692071,-41.142910298891366
13,ST18-2,S18-2,51.09789,5.109719999999999,49.86591445,135.6668831,44.76748009235598,-33.30445628520101
